2026-07-09 19:03:41.342 | INFO     | app.view.setting_interface:_onMaxTriesChanged:156 | [Setting] 最大尝试次数已修改: 3
2026-07-09 19:03:46.845 | INFO     | app.view.setting_interface:_onHskTokenChanged:163 | [Setting] HSK-Token 已更新
2026-07-09 19:03:48.494 | INFO     | app.view.setting_interface:_onGlobalTokenChanged:170 | [Setting] Global-Token 已更新
2026-07-09 19:03:51.308 | INFO     | app.view.setting_interface:_onGlobalTokenChanged:170 | [Setting] Global-Token 已更新
2026-07-09 19:03:52.745 | INFO     | app.view.setting_interface:_onHskTokenChanged:163 | [Setting] HSK-Token 已更新
2026-07-09 19:04:04.216 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 19:09:08.262 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:09:08.378 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:09:08.747 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:09:08.748 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:09:08.749 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 19:09:08.770 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:09:08.774 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:09:08.792 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:09:26.536 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:09:26.651 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:09:27.020 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:09:27.022 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:09:27.023 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 19:09:27.051 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:09:27.054 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:09:27.073 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:09:37.644 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:09:37.763 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:09:38.112 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:09:38.114 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:09:38.115 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
